Unnamed: 0,Owner,Pending days,Month,Feedback Date,Customer,End Customer,Region,Country,Key Account Status,Sales manager,Business Unit & Product,First Tier Category,Second Tier Category,Third Tier Category,Third Tier+ Category,Description,Repeat times,Filling Machine,Packaging Material,Production Date,Format,Defect Pic,Issues category,Reject category,Reject detailed reason,Department,DIC,Status,MMI status,Latest Status,History,Sample tracking NO.,Sample received date,Root cause,Actions on filling machine,Corrective action,Person in charge,Action Due Date,Converting Machine,OA CAPA Process Number,Issue Claim Paper Date,Close Claim Paper Date,Claim no,Claim Qty(pcs),Claim Qty(details),Internal CAPA Issue Date,Internal CAPA Receive Date,Internal response time,External CAPA Submit Date,Response time,Feedback lead time,CRM case number,To do list,Hyperlink,Defect Code,Is the detection system detectable?,Claim amount
143,coco,0,jun,2024-06-11,abico-tha,abico-tha,gka&sea-大客户及东南亚,thailand,y,朱骁磊(frank zhu),ks auxiliary materials,raw_material_原材料,ls_strip_纵封条,ls strip label missing_wrong 纵封条标签丢失_错误,外观类,the label is missing in 1 ls strip box,1,"not related with filling machine, so no filling machine type",r240331,2024-04-19 00:00:00,wf strip,unavailable,unaccepted,unsufficient information,满箱8盘pp条，用的原箱子和原标签，备货清单上比对了箱标签数量，未发现异常，无法验证出货时标签是否遗失。已将新的标签寄给客户。,filling machine,filling machine,close,unavailable,问题已经解决，结案,6/19: 客户已经收到标签，分析报告已提供，问题已经解决，可以close,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-11 00:00:00,2024-06-13 00:00:00,2.0,2024-06-13 00:00:00,2.0,53.0,unavailable,unavailable,unavailable,unavailable,False,0.0
144,zhuanxiang,0,jun,2024-06-11,天津弗里生,天津弗里生,chn-中国区,china mainland,n,薛小丹,ks aseptic i,printing_印刷,printing_unit_印组,color deviation 印刷色差,外观类,颜色偏浅,3,"not related with filling machine, so no filling machine type",1003503,2024-05-11 00:00:00,1ls,unavailable,unaccepted,customer's misunderstanding,色差值在乐美的生产标准范围内,filling machine,filling machine,close,unavailable,色差值在乐美的生产标准范围内，销售同意关此case。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-11 00:00:00,2024-06-12 00:00:00,1.0,2024-06-12 00:00:00,1.0,31.0,unavailable,unavailable,unavailable,unavailable,False,0.0
145,celina,0,jun,2024-06-13,oriental,bel-rouzaneh,isu-印度沙特阿联酋,iran (islamic republic of),n,syed muhammad salman ali,ks auxiliary materials,during_filling_灌装中,runnability_运行性,open tube 爆管,功能类,因接头纸芯管胶带太黏，导致拼接延迟或者失败，从而使纸路跑偏，引起爆管，及引发ls纵封处火灾。,1,a3 flex,053523,2024-03-06 00:00:00,1lg,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,工程师再次去客户端监控自动拼接，1lg4个卷，3次拼接都无问题,filling machine,filling machine,close,unavailable,20240719：1lg和500b都已无问题，只剩200b这个型号，根据经验，可调photocell，所以200b应该也可以调好,"20240708:工程师再次去客户端监控自动拼接，1lg4个卷，3次拼接都无问题；500b：1次拼接延迟，查询发现我司纸芯管外直径比利乐大（利乐:167.5mm,乐美：177.7）调整photocell后没有问题，客户满意 2024-07-05：工程师还未去客户端监控，pengding中 20240624:  trial run report 上显示客户有1lg，200b，500b，200s四个size的产品，除了200s是告诉及没有遇到自动拼接延迟的问题，其余3个size都是低速机，存在自动拼接延迟的问题。工程师下次去客户端的时候监控。。 20240615:have send the standard to ali for point 1， tape width：50mm，distance between 2 tapes：>50mm. waiting for ali's next production monitoring to check how many reels has failure on automatic splicing. 20240614：julio shared the possible causes and engineer will check the points by next production monitoring. from julio:1.        correct application of the tape to the core and to the packaging material (should have the correct distance to the edges and between the two tapes).  2.        check the correct splice alignment on both edges. 3.        check that the unwinding of the finishing reel is stable (no movement to the sides or bouncing).   4.        check that there is no misalignment between the layers of the reels. 5.        check for any movement to the sides of the material on the asu and magazine.  6.        check if there is any alarm/error recorded by the machine at the time of the splice.  20240613：1）:1lg着火：自动拼接成功后，断纸，而后客户手动用胶带拼接，拉纸时着火，大概率是客户胶带拼接问题。2）:200b &500b， 存在纸芯管胶带太黏，无法及时自动拼接下一卷。3个size一共消耗7卷。",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-13 00:00:00,2024-06-14 00:00:00,1.0,2024-06-14 00:00:00,1.0,99.0,unavailable,unavailable,unavailable,unavailable,False,0.0
146,celina,0,jun,2024-06-14,my_f&n,my_f&n,gka&sea-大客户及东南亚,malaysia,n,su chong,ks auxiliary materials,after_filling_灌装后,cap_straw_application_贴盖_管,pull tab not detected 探测不到pt strip,功能类,pull tab not detected 探测不到pt strip pt strip分切后太窄无法覆盖住孔,1,a3/flex 1000s with pultab,po016246  y240201l011 11 hold这箱，一箱3盘 po016554  y240218l011 11 hold这箱，一箱3盘,2024-02-18 00:00:00,pt strip,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,供应商说他们查的留样的厚度，摩擦系数，拉伸强度都在标准内,filling machine,filling machine,close,unavailable,20240919：万丰告知只收到59盘。待确认开箱视频确认数量后给客户开赔付书 20240913：因蒙牛审核，直接请物流把货物送到万丰：姓名：李文超，手机号：18317030698，车号：沪duq888，万丰联系人：上海市奉贤区肖南路500号18018680490 汪慧蓉 。43800米计算式20箱，但是客户发回来22箱，应该有部分是不满箱的。请供应商收货后拍照，视频，确认收货数量。 20240912：货物海关已放行。 20240830：8/24开了 9/5到上海港，在确认进口方式是按照退运报还是按照其他进口包，如果按照退运报可以节省6%关税，如果按照其他进口报需要付6%关税以及13%增值税（可抵扣，不计）。退运报需要提供：未退税证明（拿到退货批次的货物从乐美出出去时的报关单，情况说明和退货协议，以及退货退回到达上海港后的提单后即可提交4份资料办理未退税证明）。和业助及物流确认到此批次乐美昆山出货时是以0.072的单价报关出给乐美香港，收货地为马来西亚巴生港，所以退回来的单价也得是0.072，退货协议双方应是乐美香港和乐美昆山。 20240823：开船日还没定 20240819:已从客户端提货,"20240815：货代已经和客户联系上了，在敲定提货日其中。 20240814：货代需要说客户的栈板不合规，熏蒸栈板加价120usd，后经沟通改为塑料栈板:80usd。 20240807：体积1140*1140*640mm，重量285kg，物流在询价，之后就以提货了。 20240806：要到了提货地址。联系人，电话。确认了体积重量 20240805：和业助采购，物流确认到43800米的体积重量后，和物流确认退货运费预估500美金。而后采购提出，退货的部分供应商换货给我司，运费折合成物料，采购下对应的物料的但是金额为0的订单给供应商请供应商赔付。 20240801：供应商说他们查的留样的厚度，摩擦系数，拉伸强度都在标准内，不接受赔付，但是因为只有特定批次才出问题，让客户只有一台机器，不同的批次都是发生在同一机器上，咨询东南亚技术主管mark后一致是物料的问题，供应商要么派人去解决问题，要么赔钱。 20240731：客户要求索赔60卷（20240116,20240201,20240308,20240325批次），每卷730米，不接受换货，只要求开cn，和供应商确认中.  20240725：there is no new complaint on tab, they are mixing up, lp, gs and tp tabs, during last couple of visits i observed they are using tp tabs 20240719：供应商是否同意赔付4卷，确认中 20240710： hi 早！ 昨天工程师去f&n监控时发现新增一卷上机4分钟就出现pull tab分切后过窄盖不住吸管孔，卷号：y24010116l011 03。 目前客户端hold 四卷y24011600100020004(po015893) 剩余一卷，y24011600100010001(po015742)整箱3卷。这4卷需要赔付，请供应商先确认是否接受。客户端系统中记录的y240116，除了hold卷没有其他库存了，但是需要再次实物盘点才能确认。 结合历史投诉记录，客户端遇到问题的批次还有y240201和y240218， y240201：系统中剩余11.22卷 y240218：系统中剩余44卷。 实际剩余卷数需要实物盘点才能确认。 以上请帮忙通知供应商，谢谢 20240703：分析报告已发，样品和竞品的cof，厚度，断裂伸长率均未有明显异常，找不到root cause，请工程师继续监控，愿意赔付客户2卷pull tab。 20240627：截至目前依然是2卷有问题，厚度没问题，cof待寄回供应商测试中，待供应商出具分析报告。 20240626：po 15893 (dom y240116): production floor: 4 rolls/warehouse: 3 rolls;            po 16554 (dom y240218): production floor: 0 rolls/warehouse: 44 rolls 20240621：厚度:po o15893 66.2mm, po o16554 70.8mm, 竞品68.9mm，乐美留样4500002898/y240611 67.3mm. imran确认客户调整了部件但是还是有问题。 20240605：before 5th-jun：the claimed roll run for serval mins and then：“tab not detected ,so customer hold it. on 5th-jun： first run 50min other roll, smoothly, then change to claimed roll and running for 39 mins, then: “tab not detected” suggest customer: 1. machine - check tab unit roller surface, clean well if needed. - check that the one-way roller bearing rotates in the correct direction. - check the surfaces of the feeder roller and of the one way bearing for wear and damage. change if necessary - the guide plate must not be jammed with tab strip, set guide plate, if necessary, as per mm reference 5.2.1-19.  - the spring tension on tab feeder roller, check spring tension. - make sure the tab strip roll free to feed and not tight. - tab feeder - check tab feed, set, if necessary, as per mm reference 5.2.1-15 2. material - material issue, the tab strip is softer in a way that it slips from tab roller 供应商回复：复厚度可能是影响这个问题的意思之一，需要寄回样品测量厚度，工程师怀疑的cof，我司厂内没有标准。另供应商给出的建议点：建议排查一下pull tab送料的橡胶辊是否有异常，譬如橡胶有没有硬化等问题，或者说加一点送料的步长试试看。 20240610:dom 13122023 without any problems,on hold tab dom 16012024,actually only one roll has problem--customer hold the wrong batch 20240613:another reel has problem y240218l011 11。要求工程师寄回2个不良卷的样品用以验证厚度是否达标。",dhl 32 2028 7405,2024-06-20 00:00:00,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-08-05 00:00:00,2024-08-19 00:00:00,pw202406002 ncr qc10024,43800,43800米。730米一卷，共60卷 0.0756usd每米。预估退货运费500usd。,2024-06-20 00:00:00,2024-07-03 00:00:00,9.0,2024-07-03 00:00:00,13.0,117.0,unavailable,unavailable,unavailable,unavailable,False,4091.28
147,celina,0,jun,2024-06-14,my_f&n,my_f&n,gka&sea-大客户及东南亚,malaysia,n,su chong,ks auxiliary materials,raw_material_原材料,cap_盖子,excess columnar protrusions 多余的柱状凸起,物理指标类,cap边缘有凸起的柱子导致运转到这个盖子时卡住,1,cap/30,po016247 dom 25/01/2024:,2024-01-25 00:00:00,lc-rc3ss,unavailable,feedback,unavailable,unavailable,qa,qa,close,unavailable,20240626:客户已使用完此批次，不索赔，结案,20240626:客户已使用完此批次。 20240620:确认不良数量24箱，向供应商索赔中，索赔后补发荣萍盖子给客户。但是供应商提出a:愿意出sorting费用及打折，让客户用掉。b:退回来再补发。确认好退运费，及折扣后，请销售a和b方案客户是否接受。 20240613：盖子有凸起，因为凸起导致盖子无法在灌装机中移动，hold住20240112这个批次。销售以及所有剩余的cap都为客户替换为荣萍的盖子。待确认最终索赔数量。 20240618：确认不良数量24箱，向供应商索赔中，索赔后补发荣萍盖子给客户。供应商同事给出了分析报告，但是不够详细的点（已没必要确认，因为要求供应商全赔款）：请供应商画个草图，示意一下，焊接点一般在一版的哪些位置？是不是这个批次前30分钟的的箱子都有这个风险？请供应商追溯到以箱子为单位，有多少箱有风险？,unavailable,unavailable,由于热焊接机在刚开机的时候，加热板并未完全均匀受热，导致个别焊接点无法融化，导致盖子出现多余钉子状凸起，,unavailable,对从开机加热到首次生产的时间进行了明确限制，要求必须开机加热 30 分钟后方可进行生产。,qa+供应商,20240701,unavailable,未有盖子分类,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-14 00:00:00,2024-06-18 00:00:00,2.0,2024-06-18 00:00:00,2.0,141.0,unavailable,unavailable,unavailable,unavailable,False,0.0
148,celina,0,jun,2024-06-17,idp cuchi,idp cuchi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks aseptic i,slitting_分切,appearance_分切外观,paper edge broken 纸边破损,功能类,1包刀伤，刀伤在sa侧，距纸边7mm。刀伤在第8000到9000包处，pp条未破。 这是分切卷共0个接头； 客户hold了这个栈板上的其余3卷和此卷剩余的1400包 灌装速度每分钟400包,4,a3speed 500v,8000100236832010042,2024-05-21 00:00:00,200s,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,我司分切，下卷，包装，均未异常,filling machine,filling machine,close,unavailable,20240801：未接到其他卷刀伤的信息，持续观察,20240725：未接到其他卷刀伤的信息，持续观察 20240705：总计发现10包漏包，都是同一个客诉卷上，建议客户继续监控成品，运行这个po时我司工程师随线监控。 20240707：发现7包漏包，同样的边缘刀伤导致。 20240624：发现2包漏包，同样的边缘刀伤导致。 20240620：我司分切，下卷，包装，均未异常，已报告给客户，待客户确认是否无异议 20240617：破损位置在灌装码侧，栈板最下面接触栈板，卷中间，pp条没破。此卷运行20分钟后，pp条换卷，客户挑出10包做检测，发现只有一包刀伤。所以是复合后到贴pp条之间破的。因为在卷中间排除客户拆包装，工程师也排除了是pp条换卷时导致。我司分切视频未停机，下卷，包装，视频均未见异常，建议客户可以把此卷的成品保温测试。在我司工程师监控下继续使用。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-17 00:00:00,2024-06-20 00:00:00,3.0,2024-06-20 00:00:00,3.0,27.0,unavailable,unavailable,unavailable,unavailable,False,0.0
149,coco,0,jun,2024-06-18,sun magic,sun magic,eu-欧洲区,united kingdom,n,alexandra sakhatova,ks aseptic i,lamination_复合,profile_淋膜均匀性,high edge 高边_荷叶边,上机匹配性,异常排包，疑似荷叶边,1,a1 twa,047888/35050059,2023-11-06 00:00:00,200w,unavailable,unaccepted,reconfirm by service engineer,"检测了相关数据（克重、荷叶边、灌装码颜色是否发虚、幅宽、折痕线到边距离等），均在标准范围内，未发现异常。且只有一卷有问题。跟工程师沟通后确认为偶发事件。 related data were test(grammage/waving edge/color of filling code/width/distance from filling code to edge, etc), all within standard, no abnormalities were found. only 1 reel has this issue. after communicating with the engineer/sales, it is an isolated case.",filling machine,filling machine,close,unavailable,2024/7/19：赔付已完成，close,2024/7/18：赔付中。 2024/7/3:无异常，跟销售、工程师沟通后为偶发事件，直接赔付客户。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-07-04 00:00:00,2024-07-12 00:00:00,pw202406001,17000,17000,2024-06-20 00:00:00,2024-06-21 00:00:00,1.0,2024-06-25 00:00:00,5.0,225.0,unavailable,unavailable,unavailable,unavailable,False,394.2
150,celina,0,jun,2024-06-21,甘肃滋芙,甘肃滋芙,chn-中国区,china mainland,n,王建红,ks aseptic i,during_filling_灌装中,forming_成型,dent 凹包,上机匹配性,客户反馈滋芙包材软。6月20在碧海设备生产，先用我司疆垦生产顺利，换新巨丰生产顺利，后换滋芙后出现变形包，调整图案校正，钟摆压力，纸管重叠度，拉尔开合度后客户接受生产，共生产6小时多,4,碧海,1003627,2024-06-03 00:00:00,200b,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,unavailable,filling machine,filling machine,close,unavailable,20240822：ht的纸查询客诉po用纸批次不是202402和202403批次的，是202307月的批次。,20240815：销售在西北群里更新小西牛的1003083 凹包排包的情况，每一卷都有，偶尔卷出现，调整不能完全消除断断续续使用。小西牛的所有出货订单的用纸及粒子信息见文件夹里excel，这个工单用ht纸。得到销售消息，纷*用ht 202402和202403批次ht纸存在水分，定量，伸长率指标偏下限，导致存在灌装机受力较大的部位(如顶角、底角)及包材折叠层数较多的位置产生拉破/裂纹现象导致产品漏奶胀包。转香在跟进这个case，确认我司ht原纸的情况，及此ht纸都用在哪些客户身上。这批次的纸未用的话先不用。疆垦胀包顶角拉裂的case也是ht的纸，统一调查中。 20240808：目前客户的成品继续监控生产。 2024/8/5：工程师反馈同客户翻箱生产日期7/28，打印日期8/1 ，总翻箱95200包发现33包胀包，且当天生产时包材仍存在顶角裂缝情况（乐美情况比新巨丰严重），但因机器再次出现故障，具体的机器调整需等机器维修好后进行。 2024/7/31：研发，工程师，客户到传祁乳液工厂，同客户去保温室查看成品情况，找出新巨丰7/28生产两包胀包，乐美7/25生产胀包一包，现场分析，均为顶角裂缝导致，目前胀包情况乐美7（6包客户之前发现，1包现场发现）：新巨丰2；胀包均在碧海机器上生产，初步分析和机器的相关性比较大，因碧海灌装机双氧水槽坏了，备件后天到，暂无生产计划，下一步计划工程师在客户端协助维修机器以及后续生产监督； 20240730：疆垦包材烫伤时发现漏包，剪开看纵封处有烫伤。针对这批包材客户使用的封合功率是1372w ，ls温度275，比平常降低了十度，在降低温度就会出现封合不良，客户反馈烫伤的是7/15生产的，拿到了当天生产的所有卷号  27/26/23/08/24卷号，仓库的发现： 客户提供三包我司顶角裂缝，两包胀包，一包未胀。去客户包温室，发现两包新巨峰胀包，一包乐美胀包，顶角均有裂缝。乐美裂缝生产日期均为7/25，新巨峰7/28。 目前与竞品胀包比例7:2。 20240726：转香告知20240730才能去客户端。 20240725：客户昨天通知销售，滋芙没有生产，但是疆垦最近连续的在做，说包材也有问题，正好赵工今天在西宁，忙完去一趟（离不远一个多小时动车） 20240719：因为客户没有通知我司下次生产时间：无法确认调整后的参数是否可跑疆垦的包材 20240705：销售回复：客户反馈排包很多，需要我们这边进行赔付，具体数字待定 20240704：将分析报告发给销售，我司0620调整机器灌装参数后机器可运行滋芙和竞品（碧海）的包材，待下次生产时工程师去验证调整的机器参数是否可继续运行疆垦的包材。 20240628：客户的机器在停机检修中：王建红：同客户质量、生产负责人沟通！由于滋芙包材本身存在差异，导致排包，损耗严重，需要我司进行包材补偿，具体数字同客户确认中。销售告知滋芙排包较多，提供的给滋芙和疆垦包材不一样的原因点在哪里，需要我司出具报告并赔偿 20240621：在6月20号时我司工程师已经查询我司挺度在标准之内，，rcs客诉单cd 82.9，md 83.9略高。但好在标准范围之内。工程师调整机器后客户可接受凹包情况，调整后的参数也可运行新巨丰包材，待验证是否可运行上海疆垦包材。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-21 00:00:00,2024-07-04 00:00:00,9.0,2024-07-04 00:00:00,9.0,18.0,unavailable,unavailable,unavailable,unavailable,False,0.0
151,coco,0,jun,2024-06-24,菊乐食品(新津),菊乐食品(新津),chn-中国区,china mainland,n,俊轶 刘诚,ks aseptic i,transportation_运输,transportation_运输_,pallet unloading issue 栈板卸货问题,物流运输类,纵封条栈板和纸卷栈板缠绕在一起出货，导致客户端卸货困难,2,tba/22-0500,1002737,2024-05-28 00:00:00,250b,unavailable,unaccepted,normal phenomenon,整个柜子只有一个栈板有第二层，且已经满柜。如果不缠绕在一起，上层栈板会晃动，会有磨损到其他下层栈板的风险。建议客户卸货前，割除两层栈板之间的缠绕膜。,filling machine,filling machine,close,unavailable,2024/7/3：告知客户这样操作原因，并建议割除两层栈板之间的缠绕膜后卸货，客户已无更多concern。,2024/6/24:客户反馈我司上下两个栈板叠在一起，缠绕在一起后出货，导致客户端卸货困难。待业助确认装柜日期和车号后，发给库房确认原因。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-25 00:00:00,2024-06-25 00:00:00,0.0,2024-06-25 00:00:00,1.0,27.0,unavailable,unavailable,unavailable,unavailable,False,0.0
152,coco,0,jun,2024-06-25,fct,fct,gka&sea-大客户及东南亚,thailand,y,王红（rainbow wang),ks aseptic i,slitting_分切,appearance_分切外观,loose core 松卷,功能类,loose core,3,"not related with filling machine, so no filling machine type",1000665/35010001,2024-04-21 00:00:00,200s-mf,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,检查了张力值，包装视频，未发现异常。the tension and production record was checked and no abnormalities were found.,filling machine,filling machine,close,unavailable,2024/7/18：已完成赔付，结案。 2024/7/12：厂内调查无异常，进行商务赔付。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-07-09 00:00:00,2024-07-17 00:00:00,pw202406002 ncpm75/2024,16000,16000,2024-06-25 00:00:00,2024-06-27 00:00:00,2.0,2024-07-05 00:00:00,8.0,65.0,unavailable,unavailable,unavailable,unavailable,False,402.72
153,coco,0,jun,2024-06-26,idp cuchi,idp cuchi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks auxiliary materials,raw_material_原材料,pallet_栈板,pallet nail 栈板钉子,外观类,"pallet nail, causing 800 pcs damage",2,"not related with filling machine, so no filling machine type",1002402/32010001,2024-05-23 00:00:00,125s,unavailable,unaccepted,improper transportation or storage by customer,"1.all pallets were checked by the supplier, there were black marks on the location of all nails, see the 1st pic of black marks.2.all the pallets still need to be checked at lamipak site, see the 2nd pic of checking record of pallets.3.per the hole of nail and the sawdust next to the nail in pic, it can be confirmed that the  these nails were once deeply nailed into the pallet and later pulled out by external forces.",filling machine,filling machine,close,unavailable,2024/7/12：未发现异常，待进行赔付,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,800,800pcs包材,2024-06-26 00:00:00,2024-06-26 00:00:00,0.0,2024-06-26 00:00:00,0.0,34.0,unavailable,unavailable,unavailable,unavailable,False,0.0
154,coco,0,jun,2024-06-26,idp bavi,idp bavi,gka&sea-大客户及东南亚,vietnam,n,hoan nguyen,ks auxiliary materials,raw_material_原材料,ls_strip_纵封条,ls strip foreign material 纵封条异物,外观类,1 reel was contaminated by moisture,1,"not related with filling machine, so no filling machine type",45000001839/r24031938b1,2024-03-19 00:00:00,wf strip,unavailable,unaccepted,improper transportation or storage by customer,"the strip box is in good condition, and the remaining reels have been consumed. the supplier confirmed this reel is 3rd one in the box, and no abnormality is found. we will delivery 2 reels to customer in next shipment.",filling machine,filling machine,close,unavailable,2024/7/3:一箱8卷中只有一卷异常，该卷在第三卷的位置，反查无异常记录。6/28随货赔付两卷ls 条给到客户。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-06-26 00:00:00,2024-06-26 00:00:00,0.0,2024-06-26 00:00:00,0.0,99.0,unavailable,unavailable,unavailable,unavailable,False,0.0
155,zhuanxiang,0,jun,2024-06-27,合肥伊利,合肥伊利,chn-中国区,china mainland,y,赵永波,ks aseptic i,design_设计,design_设计_,text design 文字设计,外观类,文字内容错误：应为“好奶源”，设计稿为“好品质”,2,tba22-050,1002425/1003810/1005446,2024-06-25 00:00:00,250b,unavailable,claim,unavailable,unavailable,unavailable,design,close,unavailable,2024/8/2：已完成赔付，可以close,2024/7/2已将设计错误的不良包材退回乐美不良品库。该批包材待销售过段时间确认客户是否使用，若不使用做报废处理,unavailable,unavailable,执行设计画稿工艺方案时：调用“奶粉版”输出文件和“牛奶版”配料表文字，没有调用新logo； 执行完稿检验时：使用自动化检验+人工检验的方法，未能检出logo文字的差异。,unavailable,改进检验方法：在现有的检验方法 1（自动化检验）、 2（人工电脑屏幕检验）步骤里增加物理打印，并进行“蓝红笔”逐句检验双签，以确保检验不会有遗漏。,design,20240630,unavailable,unavailable,2024-07-04 00:00:00,2024-07-15 00:00:00,unavailable,1334510,unavailable,2024-06-29 00:00:00,2024-06-29 00:00:00,-1.0,2024-06-29 00:00:00,1.0,2.0,unavailable,unavailable,unavailable,unavailable,False,32140.738
156,zhuanxiang,0,jun,2024-06-29,合肥伊利,合肥伊利,chn-中国区,china mainland,y,赵永波,ks aseptic i,printing_印刷,printing_unit_印组,unclear text 文字模糊,外观类,包材右边地址栏，文字太淡，印刷不清，且有轻微重影,2,tba22-050,1005569/100556936010064,2024-06-26 00:00:00,250b,unavailable,claim,unavailable,unavailable,unavailable,printing,close,unavailable,2024/8/2：已完成赔付，可以close,需赔付一卷包材,unavailable,unavailable,1.490套筒边缘变形不圆 2.印刷边缘印版压力过大,unavailable,1.制定套筒使用标准，每两个季度检测套筒圆度/2.伊利设计文件增加压力标，印刷压力目视化/3.印刷机版辊轴每季度检测跳动（标准＜3s）/4.伊利质量增加文字模糊要求，全员培训/5.伊利设计大面积印版咬口垫胶带,alex&王强/汪春节/张全坤&任广发/徐亮/王强,20240830/20240730/20240730/20240715/20240703,unavailable,unavailable,2024-07-09 00:00:00,2024-07-18 00:00:00,unavailable,18000,unavailable,2024-06-29 00:00:00,2024-07-05 00:00:00,4.0,2024-07-05 00:00:00,4.0,3.0,unavailable,unavailable,unavailable,unavailable,False,428.4
157,sophia,0,jul,2024-07-02,chi,chi,mea-中东及非洲,nigeria,y,ibukun daniels,ks aseptic i,slitting_分切,appearance_分切外观,paper dust_fiber on paper edge 纸边纸粉_纸毛,外观类,成型环位置产生纸粉,1,a3s,053158/33040074/33050090,2024-02-25 00:00:00,1lsq,unavailable,unaccepted,unsufficient information,"there is abnormal was found from lamipak side, continue montior the production",filling machine,filling machine,close,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-07-02 00:00:00,2024-07-02 00:00:00,0.0,2024-07-03 00:00:00,1.0,128.0,unavailable,unavailable,unavailable,unavailable,False,0.0
158,coco,0,jul,2024-07-04,del monte philippines,del monte philippines,gka&sea-大客户及东南亚,philippines,n,mary mamangun zapata,ks aseptic i,lamination_复合,appearance_淋膜外观,outer surface appearance issue 外层外观问题,外观类,包材表面光泽度跟利乐相比更亮，担心会影响成型、封合、喷墨,1,"not related with filling machine, so no filling machine type",1001979/35030003,2024-05-10 00:00:00,1lp-plh,unavailable,unaccepted,normal phenomenon,"we checked this order 1001979 and 1st order 050207, the same paperboard and pe was used for these 2 orders. after checking the appearance of retaining samples, both of them are glossy, no difference. kindly see below pics. as we know, no similar/related issue was feedback for 1st order 050207, so the glossy will not affect the forming\sealing\ink-jet coding, the new order is safe to be used.   跟上次工单对比，原纸都是用的ht335,外层pe都是722.两个工单留样表面光泽度无差异，包材可以使用。",filling machine,filling machine,close,unavailable,"2024/7/18：无更多concern，跟销售确认后结案。 2024/7/4：跟上次工单对比，原纸都是用的ht335,外层pe都是722.两个工单留样表面光泽度无差异，包材可以使用。","2024/7/4：跟上次工单对比，原纸都是用的ht335,外层pe都是722.待确认两次留样是否有明显差异。",unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-07-04 00:00:00,2024-07-04 00:00:00,0.0,2024-07-04 00:00:00,0.0,55.0,unavailable,unavailable,unavailable,unavailable,False,0.0
159,sophia,0,jul,2024-07-04,菊乐食品(新津),菊乐食品(新津),chn-中国区,china mainland,n,俊轶 刘诚,ks aseptic i,during_filling_灌装中,forming_成型,flap open 弹角,上机匹配性,1：刚开机时底角粘合不良；3号机顶角和底部成型不良； 2：pp条跑偏，pp条易断 3：异常排包,4,tba/22-0500,100273733071042/05190732020072,2024-05-28 00:00:00,250b,unavailable,unaccepted,customer's abnormal production equipment or testing equipment.,unavailable,filling machine,filling machine,close,y,22040730:详见工程师包材，调整后包体成型和粘合整体效果良好，达到客户认可的效果,22040730:详见工程师包材，调整后包体成型和粘合整体效果良好，达到客户认可的效果 20240704:①底角粘合不良，尤其是才开机时，生产稳定后减少，不影响后端封箱，可通过增加超过标准的容量来解决。 ②包材偏硬，会出现顶角和底部成型不良（3#），调整图案不能同时调正。,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,2024-07-04 00:00:00,2024-07-09 00:00:00,3.0,2024-07-19 00:00:00,11.0,37.0,unavailable,unavailable,unavailable,unavailable,False,0.0
